Date (UTC),Type,Direction,Message count
2025-01-20T00:00:00,EmailPhish,Inbound,808
2025-01-20T00:00:00,EmailPhish,IntraOrg,12
2025-01-20T00:00:00,EmailPhish,Outbound,2
2025-01-20T00:00:00,GoodMail,Inbound,256643
2025-01-20T00:00:00,GoodMail,IntraOrg,214384
2025-01-20T00:00:00,GoodMail,Outbound,49846
2025-01-20T00:00:00,SpamDetections,Inbound,6600
2025-01-20T00:00:00,SpamDetections,IntraOrg,18
2025-01-20T00:00:00,TransportRules,Inbound,59
2025-01-20T00:00:00,TransportRules,IntraOrg,3
2025-01-19T00:00:00,EdgeBlockSpam,Inbound,8
2025-01-19T00:00:00,EmailPhish,Inbound,72
2025-01-19T00:00:00,GoodMail,Inbound,129749
2025-01-19T00:00:00,GoodMail,IntraOrg,47518
2025-01-19T00:00:00,GoodMail,Outbound,12458
2025-01-19T00:00:00,SpamDetections,Inbound,2123
2025-01-19T00:00:00,TransportRules,Inbound,28
2025-01-18T00:00:00,EdgeBlockSpam,Inbound,19
2025-01-18T00:00:00,EmailPhish,Inbound,318
2025-01-18T00:00:00,GoodMail,Inbound,179197
2025-01-18T00:00:00,GoodMail,IntraOrg,113154
2025-01-18T00:00:00,GoodMail,Outbound,27840
2025-01-18T00:00:00,SpamDetections,Inbound,3225
2025-01-18T00:00:00,TransportRules,Inbound,28
2025-01-18T00:00:00,TransportRules,Outbound,1
2025-01-17T00:00:00,EdgeBlockSpam,Inbound,29
2025-01-17T00:00:00,EmailPhish,Inbound,828
2025-01-17T00:00:00,EmailPhish,IntraOrg,4
2025-01-17T00:00:00,GoodMail,Inbound,211181
2025-01-17T00:00:00,GoodMail,IntraOrg,176268
2025-01-17T00:00:00,GoodMail,Outbound,45818
2025-01-17T00:00:00,SpamDetections,Inbound,5847
2025-01-17T00:00:00,TransportRules,Inbound,27
2025-01-17T00:00:00,TransportRules,IntraOrg,1
2025-01-17T00:00:00,TransportRules,Outbound,2
2025-01-16T00:00:00,EdgeBlockSpam,Inbound,37
2025-01-16T00:00:00,EmailMalware,Inbound,6
2025-01-16T00:00:00,EmailPhish,Inbound,218
2025-01-16T00:00:00,EmailPhish,IntraOrg,2
2025-01-16T00:00:00,GoodMail,Inbound,122584
2025-01-16T00:00:00,GoodMail,IntraOrg,108971
2025-01-16T00:00:00,GoodMail,Outbound,26340
2025-01-16T00:00:00,SpamDetections,Inbound,2942
2025-01-16T00:00:00,SpamDetections,IntraOrg,2
2025-01-16T00:00:00,SpamDetections,Outbound,3
2025-01-16T00:00:00,TransportRules,Inbound,29
2025-01-16T00:00:00,TransportRules,IntraOrg,5
2025-01-15T00:00:00,EdgeBlockSpam,Inbound,50
2025-01-15T00:00:00,EmailPhish,Inbound,349
2025-01-15T00:00:00,EmailPhish,IntraOrg,6
2025-01-15T00:00:00,GoodMail,Inbound,121752
2025-01-15T00:00:00,GoodMail,IntraOrg,113061
2025-01-15T00:00:00,GoodMail,Outbound,28199
2025-01-15T00:00:00,SpamDetections,Inbound,3154
2025-01-15T00:00:00,TransportRules,Inbound,54
2025-01-15T00:00:00,TransportRules,IntraOrg,6
2025-01-14T00:00:00,EdgeBlockSpam,Inbound,23
2025-01-14T00:00:00,EmailPhish,Inbound,521
2025-01-14T00:00:00,EmailPhish,IntraOrg,13
2025-01-14T00:00:00,GoodMail,Inbound,113516
2025-01-14T00:00:00,GoodMail,IntraOrg,89330
2025-01-14T00:00:00,GoodMail,Outbound,26946
2025-01-14T00:00:00,SpamDetections,Inbound,2694
2025-01-14T00:00:00,TransportRules,Inbound,54
2025-01-14T00:00:00,TransportRules,IntraOrg,1
2025-01-14T00:00:00,TransportRules,Outbound,1
2025-01-13T00:00:00,EdgeBlockSpam,Inbound,45
2025-01-13T00:00:00,EmailMalware,Inbound,1
2025-01-13T00:00:00,EmailPhish,Inbound,246
2025-01-13T00:00:00,EmailPhish,IntraOrg,3
2025-01-13T00:00:00,GoodMail,Inbound,113226
2025-01-13T00:00:00,GoodMail,IntraOrg,103160
2025-01-13T00:00:00,GoodMail,Outbound,25593
2025-01-13T00:00:00,SpamDetections,Inbound,3595
2025-01-13T00:00:00,TransportRules,Inbound,57
2025-01-13T00:00:00,TransportRules,Outbound,2
2025-01-12T00:00:00,EdgeBlockSpam,Inbound,27
2025-01-12T00:00:00,EmailPhish,Inbound,56
2025-01-12T00:00:00,EmailPhish,IntraOrg,5
2025-01-12T00:00:00,EmailPhish,Outbound,5
2025-01-12T00:00:00,GoodMail,Inbound,56277
2025-01-12T00:00:00,GoodMail,IntraOrg,22295
2025-01-12T00:00:00,GoodMail,Outbound,5996
2025-01-12T00:00:00,SpamDetections,Inbound,1035
2025-01-12T00:00:00,SpamDetections,IntraOrg,4
2025-01-12T00:00:00,TransportRules,Inbound,25
2025-01-12T00:00:00,TransportRules,IntraOrg,7
2025-01-12T00:00:00,TransportRules,Outbound,7
2025-01-11T00:00:00,EdgeBlockSpam,Inbound,27
2025-01-11T00:00:00,EmailMalware,Inbound,13
2025-01-11T00:00:00,EmailPhish,Inbound,55
2025-01-11T00:00:00,EmailPhish,IntraOrg,11
2025-01-11T00:00:00,GoodMail,Inbound,77203
2025-01-11T00:00:00,GoodMail,IntraOrg,58863
2025-01-11T00:00:00,GoodMail,Outbound,17960
